Run Type,AMR Levels,Cores,Measure Index,Memory Used (KB)
pipe_contour_memory,3,32,93,5808004
pipe_contour_memory,3,32,94,5809400
pipe_contour_memory,3,32,95,5806672
pipe_contour_memory,3,32,96,5807724
pipe_contour_memory,3,32,97,5808716
pipe_contour_memory,3,32,98,5812824
pipe_contour_memory,3,32,99,5814932
pipe_contour_memory,3,32,100,5814572
pipe_contour_memory,4,32,0,15396248
pipe_contour_memory,4,32,1,15468192
pipe_contour_memory,4,32,2,15504240
pipe_contour_memory,4,32,3,15539172
pipe_contour_memory,4,32,4,15542720
pipe_contour_memory,4,32,5,15552340
pipe_contour_memory,4,32,6,15560160
pipe_contour_memory,4,32,7,15562788
pipe_contour_memory,4,32,8,15562708
pipe_contour_memory,4,32,9,15565404
pipe_contour_memory,4,32,10,15566700
pipe_contour_memory,4,32,11,15566792
pipe_contour_memory,4,32,12,15572160
pipe_contour_memory,4,32,13,15571904
pipe_contour_memory,4,32,14,15573308
pipe_contour_memory,4,32,15,15574736
pipe_contour_memory,4,32,16,15576508
pipe_contour_memory,4,32,17,15592636
pipe_contour_memory,4,32,18,15599348
pipe_contour_memory,4,32,19,15603480
pipe_contour_memory,4,32,20,15605512
pipe_contour_memory,4,32,21,15605956
pipe_contour_memory,4,32,22,15606164
pipe_contour_memory,4,32,23,15607380
pipe_contour_memory,4,32,24,15612072
pipe_contour_memory,4,32,25,15612216
pipe_contour_memory,4,32,26,15614952
pipe_contour_memory,4,32,27,15618844
pipe_contour_memory,4,32,28,15620156
pipe_contour_memory,4,32,29,15621168
pipe_contour_memory,4,32,30,15622524
pipe_contour_memory,4,32,31,15624456
pipe_contour_memory,4,32,32,15637064
pipe_contour_memory,4,32,33,15640116
pipe_contour_memory,4,32,34,15640352
pipe_contour_memory,4,32,35,15640640
pipe_contour_memory,4,32,36,15653072
pipe_contour_memory,4,32,37,15658320
pipe_contour_memory,4,32,38,15688260
pipe_contour_memory,4,32,39,15699512
pipe_contour_memory,4,32,40,15701668
pipe_contour_memory,4,32,41,15704304
pipe_contour_memory,4,32,42,15708132
pipe_contour_memory,4,32,43,15709660
pipe_contour_memory,4,32,44,15710388
pipe_contour_memory,4,32,45,15727748
pipe_contour_memory,4,32,46,15728904
pipe_contour_memory,4,32,47,15731316
pipe_contour_memory,4,32,48,15731068
pipe_contour_memory,4,32,49,15732768
pipe_contour_memory,4,32,50,15734100
pipe_contour_memory,4,32,51,15738400
pipe_contour_memory,4,32,52,15746912
pipe_contour_memory,4,32,53,15755860
pipe_contour_memory,4,32,54,15761456
pipe_contour_memory,4,32,55,15762076
pipe_contour_memory,4,32,56,15762176
pipe_contour_memory,4,32,57,15765872
pipe_contour_memory,4,32,58,15767304
pipe_contour_memory,4,32,59,15775360
pipe_contour_memory,4,32,60,15780228
pipe_contour_memory,4,32,61,15784380
pipe_contour_memory,4,32,62,15788592
pipe_contour_memory,4,32,63,15786588
pipe_contour_memory,4,32,64,15796260
pipe_contour_memory,4,32,65,15800008
pipe_contour_memory,4,32,66,15795604
pipe_contour_memory,4,32,67,15804000
pipe_contour_memory,4,32,68,15808596
pipe_contour_memory,4,32,69,15817960
pipe_contour_memory,4,32,70,15823500
pipe_contour_memory,4,32,71,15826832
pipe_contour_memory,4,32,72,15829992
pipe_contour_memory,4,32,73,15832684
pipe_contour_memory,4,32,74,15844104
pipe_contour_memory,4,32,75,15850992
pipe_contour_memory,4,32,76,15858220
pipe_contour_memory,4,32,77,15859820
pipe_contour_memory,4,32,78,15857768
pipe_contour_memory,4,32,79,15858836
pipe_contour_memory,4,32,80,15859468
pipe_contour_memory,4,32,81,15880156
pipe_contour_memory,4,32,82,15881552
pipe_contour_memory,4,32,83,15877832
pipe_contour_memory,4,32,84,15884628
pipe_contour_memory,4,32,85,15882612
pipe_contour_memory,4,32,86,15883244
pipe_contour_memory,4,32,87,15885244
pipe_contour_memory,4,32,88,15899100
pipe_contour_memory,4,32,89,15898736
pipe_contour_memory,4,32,90,15903432
pipe_contour_memory,4,32,91,15909312
pipe_contour_memory,4,32,92,15901372
pipe_contour_memory,4,32,93,15901588
pipe_contour_memory,4,32,94,15906900
pipe_contour_memory,4,32,95,15909456
pipe_contour_memory,4,32,96,15912344
pipe_contour_memory,4,32,97,15915436
pipe_contour_memory,4,32,98,15915240
pipe_contour_memory,4,32,99,15921564
pipe_contour_memory,4,32,100,15922036
pipe_contour_memory,4,64,0,8874292
pipe_contour_memory,4,64,1,8920716
pipe_contour_memory,4,64,2,8940816
pipe_contour_memory,4,64,3,8967636
pipe_contour_memory,4,64,4,8975000
pipe_contour_memory,4,64,5,8988844
pipe_contour_memory,4,64,6,8991592
pipe_contour_memory,4,64,7,8992988
pipe_contour_memory,4,64,8,8997768
pipe_contour_memory,4,64,9,9000616
pipe_contour_memory,4,64,10,9002360
pipe_contour_memory,4,64,11,9004884
pipe_contour_memory,4,64,12,9004512
pipe_contour_memory,4,64,13,9005456
pipe_contour_memory,4,64,14,9005532
pipe_contour_memory,4,64,15,9021340
pipe_contour_memory,4,64,16,9027124
pipe_contour_memory,4,64,17,9031884
pipe_contour_memory,4,64,18,9035140
pipe_contour_memory,4,64,19,9036088
pipe_contour_memory,4,64,20,9037848
pipe_contour_memory,4,64,21,9036900
pipe_contour_memory,4,64,22,9039660
pipe_contour_memory,4,64,23,9039644
pipe_contour_memory,4,64,24,9040368
pipe_contour_memory,4,64,25,9040796
pipe_contour_memory,4,64,26,9042448
pipe_contour_memory,4,64,27,9046496
pipe_contour_memory,4,64,28,9047768
pipe_contour_memory,4,64,29,9048680
pipe_contour_memory,4,64,30,9048476
pipe_contour_memory,4,64,31,9048760
pipe_contour_memory,4,64,32,9057660
pipe_contour_memory,4,64,33,9058120
pipe_contour_memory,4,64,34,9078488
pipe_contour_memory,4,64,35,9078592
pipe_contour_memory,4,64,36,9080616
pipe_contour_memory,4,64,37,9084656
pipe_contour_memory,4,64,38,9090776
pipe_contour_memory,4,64,39,9089368
pipe_contour_memory,4,64,40,9088072
pipe_contour_memory,4,64,41,9097484
pipe_contour_memory,4,64,42,9096144
pipe_contour_memory,4,64,43,9096800
pipe_contour_memory,4,64,44,9096408
pipe_contour_memory,4,64,45,9110772
pipe_contour_memory,4,64,46,9114000
pipe_contour_memory,4,64,47,9114368
pipe_contour_memory,4,64,48,9124308
pipe_contour_memory,4,64,49,9125556
pipe_contour_memory,4,64,50,9123592
pipe_contour_memory,4,64,51,9125368
pipe_contour_memory,4,64,52,9132972
pipe_contour_memory,4,64,53,9140932
pipe_contour_memory,4,64,54,9138932
pipe_contour_memory,4,64,55,9141004
pipe_contour_memory,4,64,56,9141596
pipe_contour_memory,4,64,57,9141360
pipe_contour_memory,4,64,58,9139484
pipe_contour_memory,4,64,59,9153036
pipe_contour_memory,4,64,60,9171544
pipe_contour_memory,4,64,61,9183704
pipe_contour_memory,4,64,62,9187316
pipe_contour_memory,4,64,63,9189784
pipe_contour_memory,4,64,64,9191596
pipe_contour_memory,4,64,65,9199120
pipe_contour_memory,4,64,66,9201500
pipe_contour_memory,4,64,67,9206248
pipe_contour_memory,4,64,68,9219540
pipe_contour_memory,4,64,69,9228948
pipe_contour_memory,4,64,70,9234356
pipe_contour_memory,4,64,71,9233232
pipe_contour_memory,4,64,72,9235548
pipe_contour_memory,4,64,73,9237144
pipe_contour_memory,4,64,74,9236092
pipe_contour_memory,4,64,75,9239664
pipe_contour_memory,4,64,76,9239176
pipe_contour_memory,4,64,77,9237032
pipe_contour_memory,4,64,78,9240120
pipe_contour_memory,4,64,79,9237140
pipe_contour_memory,4,64,80,9237364
pipe_contour_memory,4,64,81,9239808
pipe_contour_memory,4,64,82,9239588
pipe_contour_memory,4,64,83,9241028
pipe_contour_memory,4,64,84,9244572
pipe_contour_memory,4,64,85,9252316
