>>>>  amr_in-situ-unopt/pipe-5-00128/extracted_timings-e635311.csv 
%  ./pipe-5-00128   ./pipe-5-00128/extracted_timings-e635311.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  75.4958754 ,  71.213649 ,  81.523772 ,  3.0196803081574 
% PVSPY_VIZ_TIMINGS ,  3.47765242 ,  3.288374 ,  4.5546 ,  0.192528421473361 
% -------------------------------------------------------------------
"cycle","cth","viz"
% PVSPY_VIZ_TIMINGS ,  8.58447498 ,  7.820157 ,  9.44316 ,  0.359620418580452 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,11.737466,8.881133
20,11.877293,9.214676
30,11.987869,8.708807
40,12.382893,8.752674
50,12.109699,8.402724
60,12.178439,8.665723
70,12.038241,8.598752
80,12.062856,9.140572
90,12.120534,8.658231
100,12.06609,8.603881
110,12.335479,8.813029
120,12.119295,8.474083
130,12.058548,9.298646
140,12.993947,8.558474
150,11.994256,8.210444
160,11.776263,8.316994
170,11.773367,8.269675
180,11.924804,8.421131
190,11.818884,8.539719
200,11.843612,8.323372
210,11.900394,9.059004
220,12.295236,8.663896
230,11.875383,8.300657
240,12.266813,9.035587
250,12.087854,8.336962
260,12.112688,8.511541
270,12.103834,8.224811
280,12.121326,8.400861
290,12.536221,8.369884
300,12.317043,8.874862
310,12.335624,8.249704
320,12.154046,8.826699
330,12.755141,8.310659
340,12.164671,8.640428
350,12.404953,9.44316
360,12.544271,8.737235
370,12.304909,8.844552
380,12.527086,8.320937
390,12.786342,8.524715
400,12.748202,8.71787
410,12.786556,8.491588
420,12.489518,8.470917
430,12.292733,8.585303
440,12.639305,8.679578
450,12.762732,9.169645
460,13.607025,8.985859
470,17.818506,7.927399
480,17.685046,7.820157
490,16.676137,7.959978
500,17.026095,7.886561
<<<< 
>>>>  amr_in-situ-unopt/pipe-7-08192/extracted_timings-e630828.csv 
%  ./pipe-7-08192   ./pipe-7-08192/extracted_timings-e630828.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  67.65100158 ,  63.790051 ,  79.95911 ,  4.65747537885118 
% PVSPY_VIZ_TIMINGS ,  61.91302362 ,  51.366724 ,  74.336572 ,  3.19251577048393 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,63.790051,74.336572
20,64.003279,66.817881
30,65.051023,61.305636
40,64.425242,59.057031
50,64.78774,51.366724
60,65.478115,60.350582
70,64.727229,58.871664
80,64.748744,63.436184
90,64.771138,62.946656
100,64.793972,62.649725
110,65.040233,62.878556
120,64.959517,60.511073
130,64.566334,60.562582
140,65.364347,64.972632
150,64.795659,63.011626
160,64.584965,60.710918
170,67.147825,62.628198
180,65.805552,59.768644
190,64.306499,59.380617
200,64.337523,61.825725
210,64.401749,60.516563
220,65.953343,63.130203
230,66.414915,60.436724
240,64.229229,61.956825
250,64.104143,59.841299
260,64.706053,63.274287
270,64.473525,58.955628
280,64.553108,61.578102
290,64.618156,61.645526
300,64.686451,61.411567
310,64.72624,62.049857
320,64.803255,63.082027
330,65.029159,60.644921
340,65.062423,60.90601
350,65.008773,61.393983
360,68.391258,62.524042
370,67.274662,62.281453
380,72.119257,64.923246
390,73.732586,65.19247
400,75.060111,54.943928
410,77.641819,64.130931
420,75.831252,63.839677
430,72.572406,65.60924
440,75.205187,65.289464
450,79.95911,63.752734
460,75.220151,56.869704
470,74.36012,62.06594
480,75.728534,62.519982
490,74.477015,62.139429
500,74.721102,61.356193
<<<< 
>>>>  amr_in-situ-unopt/pipe-7-16384/extracted_timings-e630830.csv 
%  ./pipe-7-16384   ./pipe-7-16384/extracted_timings-e630830.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  40.23995594 ,  36.815846 ,  47.636549 ,  3.06765768328479 
% PVSPY_VIZ_TIMINGS ,  64.18834504 ,  59.79429 ,  70.890164 ,  2.51230052459293 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,36.815846,63.472888
20,39.929601,64.934415
30,40.899094,68.353395
40,41.429581,66.744795
50,40.984129,59.79429
60,44.505052,67.933109
70,38.626308,66.058561
80,38.364527,63.972516
90,38.669895,63.77228
100,39.027511,65.251898
110,38.320606,61.955566
120,38.572943,63.221937
130,38.425986,64.085089
140,38.23633,63.465787
150,38.101936,63.516249
160,37.843351,63.155071
170,41.705023,62.605305
180,38.678619,61.917658
190,37.539308,62.209348
200,37.210587,62.149315
210,37.470447,62.84403
220,38.959794,62.544382
230,39.198035,62.479185
240,37.571759,62.005644
250,38.706422,62.881658
260,39.980059,63.608672
270,37.444133,62.221771
280,37.386509,64.473821
290,37.503861,60.591089
300,37.467069,64.20845
310,37.431185,64.368681
320,37.600873,61.632079
330,37.871679,60.070188
340,37.482159,61.93059
350,37.734535,61.420865
360,37.516243,61.437344
370,40.09049,66.119468
380,43.505759,66.580779
390,44.1509,68.436523
400,43.725937,62.270225
410,45.760586,68.880464
420,42.945888,66.412943
430,42.411173,68.529652
440,44.48181,70.890164
450,47.636549,64.983972
460,45.860141,65.856643
470,44.300316,63.289146
480,44.24236,67.077708
490,46.370266,67.662756
500,45.304627,65.138888
<<<< 
>>>>  amr_in-situ-unopt/pipe-7-32768/extracted_timings-e630832.csv 
%  ./pipe-7-32768   ./pipe-7-32768/extracted_timings-e630832.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  23.49687502 ,  21.7865 ,  29.305681 ,  1.92783054200672 
% PVSPY_VIZ_TIMINGS ,  68.56031362 ,  53.443194 ,  76.552509 ,  4.2976359811987 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,21.7865,73.018214
20,22.848139,69.794212
30,23.776704,69.249089
40,23.502346,69.609032
50,23.550765,53.443194
60,23.508134,67.799764
70,23.041333,69.953932
80,23.187624,68.189131
90,23.510569,73.115863
100,22.758242,67.021315
110,22.6485,66.407325
120,22.672589,67.228923
130,22.700894,70.384133
140,23.801777,74.335843
150,22.870328,69.594543
160,22.591772,68.61645
170,24.173423,70.13225
180,23.70873,66.088081
190,21.992144,70.500865
200,21.962924,66.576377
210,22.181026,65.644228
220,23.036572,65.724787
230,23.387943,68.503844
240,22.34805,66.325532
250,22.062453,67.693295
260,21.929223,70.24235
270,21.868168,67.041518
280,22.118384,66.215374
290,21.987326,71.112903
300,22.080695,68.145081
310,21.910514,69.209167
320,21.977857,69.070087
330,22.524435,69.172548
340,21.821225,66.693106
350,21.958883,66.574718
360,22.128365,67.28187
370,22.21986,65.570371
380,23.012574,67.692117
390,22.268833,56.413879
400,22.85127,56.345406
410,27.599528,75.860067
420,27.865241,70.484915
430,24.927949,70.936661
440,25.779029,76.552509
450,29.305681,74.611176
460,28.691747,71.096985
470,25.071474,70.736921
480,25.043803,71.387681
490,27.753302,72.910194
500,26.538904,71.707855
<<<< 
>>>>  amr_in-situ-unopt/failed/pipe-7-04096/extracted_timings-e630826.csv 
%  ./failed/pipe-7-04096   ./failed/pipe-7-04096/extracted_timings-e630826.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  118.4365536 ,  116.652465 ,  130.34169 ,  2.73630419938359 
% PVSPY_VIZ_TIMINGS ,  57.80399932 ,  0.005036 ,  64.494982 ,  12.3137385110811 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,117.551771,59.957233
20,130.34169,60.741085
30,117.76672,60.198404
40,116.652465,61.820361
50,117.400482,50.150155
60,118.445054,61.905477
70,117.151871,61.616839
80,117.524756,59.879684
90,118.032765,58.608963
100,117.772638,60.638467
110,117.688193,62.986848
120,117.98773,59.351978
130,117.770151,61.470171
140,118.355937,58.359594
150,117.456252,59.7153
160,117.417015,59.31877
170,121.52706,59.776189
180,119.479649,58.600993
190,116.918124,58.87128
200,116.909406,60.62194
210,117.123652,61.904038
220,119.345492,64.494982
230,120.399594,62.207064
240,117.12698,61.899132
250,116.768393,0.005036
<<<< 
